region;date;price
stredocesky;30.09.2022;57688
stredocesky;31.12.2022;55084
jihocesky;31.03.2022;48529
jihocesky;30.06.2022;52378
jihocesky;30.09.2022;51688
jihocesky;31.12.2022;49165
plzensky;31.03.2022;51364
plzensky;30.06.2022;52530
plzensky;30.09.2022;53267
plzensky;31.12.2022;51896
karlovarsky;31.03.2022;34332
karlovarsky;30.06.2022;37027
karlovarsky;30.09.2022;36648
karlovarsky;31.12.2022;37072
ustecky;31.03.2022;34972
ustecky;30.06.2022;37495
ustecky;30.09.2022;37147
ustecky;31.12.2022;35658
liberecky;31.03.2022;47311
liberecky;30.06.2022;50588
liberecky;30.09.2022;50308
liberecky;31.12.2022;49449
kralovehradecky;31.03.2022;46444
kralovehradecky;30.06.2022;48994
kralovehradecky;30.09.2022;48227
kralovehradecky;31.12.2022;48495
pardubicky;31.03.2022;49991
pardubicky;30.06.2022;50938
pardubicky;30.09.2022;50878
pardubicky;31.12.2022;52349
vysocina;31.03.2022;47377
vysocina;30.06.2022;49565
vysocina;30.09.2022;50247
vysocina;31.12.2022;48651
jihomoravsky;31.03.2022;65654
jihomoravsky;30.06.2022;69560
jihomoravsky;30.09.2022;69140
jihomoravsky;31.12.2022;65078
olomoucky;31.03.2022;47962
olomoucky;30.06.2022;49722
olomoucky;30.09.2022;49645
olomoucky;31.12.2022;47656
zlinsky;31.03.2022;46932
zlinsky;30.06.2022;49351
zlinsky;30.09.2022;49553
zlinsky;31.12.2022;45888
moravskoslezsky;31.03.2022;41910
moravskoslezsky;30.06.2022;43084
moravskoslezsky;30.09.2022;43130
moravskoslezsky;31.12.2022;41432
praha;31.03.2023;103549
praha;30.06.2023;103992
praha;30.09.2023;103859
praha;31.12.2023;103372
stredocesky;31.03.2023;52633
stredocesky;30.06.2023;52460
stredocesky;30.09.2023;52590
stredocesky;31.12.2023;53389
jihocesky;31.03.2023;46353
jihocesky;30.06.2023;46265
jihocesky;30.09.2023;45631
jihocesky;31.12.2023;45790
plzensky;31.03.2023;48388
plzensky;30.06.2023;48107
plzensky;30.09.2023;47100
plzensky;31.12.2023;47321
karlovarsky;31.03.2023;33441
karlovarsky;30.06.2023;34348
karlovarsky;30.09.2023;33529
karlovarsky;31.12.2023;33339
ustecky;31.03.2023;33936
ustecky;30.06.2023;33338
ustecky;30.09.2023;33401
ustecky;31.12.2023;34040
liberecky;31.03.2023;46022
liberecky;30.06.2023;45254
liberecky;30.09.2023;46346
liberecky;31.12.2023;44622
kralovehradecky;31.03.2023;46505
kralovehradecky;30.06.2023;46505
kralovehradecky;30.09.2023;46075
kralovehradecky;31.12.2023;46683
pardubicky;31.03.2023;49866
pardubicky;30.06.2023;48286
pardubicky;30.09.2023;49803
